Record ID;Nom de la prestation;Associated Company;Nom de domaine;Marques;Associated Company IDs
5154031323;Pack Standard : dim-et-dog.fr;Dim et Dog;dim-et-dog.fr;;11723240947
5154023368;Pack Premium : mendes-podologue-armentieres.com;Mendes Pédicure Podologue;mendes-podologue-armentieres.com;;8171998945
4952065525;Pack Premium : nathanhaetty.com;Nathan Haetty (A+N Design);nathanhaetty.com;;8172011479
4882932429;Pack Standard : pharmacie-des-loubatieres.fr;Pharmacie des Loubatières;pharmacie-des-loubatieres.fr;"<p>Matériel médical : handipharm</p><p>Orthopedie : thuasne,</p><p>Bas de contention : thuasne</p><p>Parapharmacie : Avene, la rosée,<span>&nbsp; </span>acm, beauterra, galien beauté, dexeryl, vitry, neutraderm, laino, klorane shampoing , Beesline,</p><p>Anti moustique et anti poux :<span>&nbsp; </span>pouxit, manouka, insect ecran</p><p>Tisane : les jardins de Marion</p><p>Homeopathie : boiron, lehning</p><p>Phytothérapie : arkopharma, santarome, clemaflore,</p><p>Micronutrition : pileje,</p><p>Aromatherapie : phytosun aroms,</p><p>Lait infantile : novalac,</p><p>Produits bébés : le comptoir aroma, prorhinel, mam, bebisol,</p><p>Hygiène intime : roge cavailles, hydralin, skyn, laboratoire majorelle, saforelle,</p><p>Incontinence : tena</p><p>Parfum : claude galien,</p><p>Dénutrition : delical, fortimel,</p><p>Produit vétérinaire : clément thekan</p>";11415305166
4605920212;Pack Standard : pharmacie-jozan-cuiseaux.fr;Pharmacie Jozan;pharmacie-jozan-cuiseaux.fr;"<p>Matériel médical : Pharmat</p><p>Orthopedie : orliman thuasne</p><p>Bas de contention : Thuasne sigvaris</p><p>Chaussure orthopédique : Dr Comfort</p><p>Parapharmacie : Avene, La roche posay, la rosée, nuxe, roge cavailles, cerave, beauterra, les petits bains de Provence, klorane,</p><p>Phytothérapie : aboca, arkopharma,</p><p>Aromatherapie : phytosun aroms, dr valnet,</p><p>Complements alimentaires : arkopharma,&nbsp;</p><p>Lait infantile : gallia</p><p>Hygiène intime : saforelle, hydralin, aginax, clearblue, durex</p><p>Micronutrition : nutravens, activa</p><p>Homeopathie : boiron</p><p>Produits bébés : mam, la rosée bébé, pediakid</p><p>Tisane : pukka</p><p>Dénutrition : clinutren, fresubin,</p><p>Incontinence : confiance, Tena</p><p>Produit vétérinaire : frontline, clément thekan, seresto</p><p>Parfum : galien beauté, la maison des essences</p>";11414599403
4577123047;Pack Access : pharmacie-sultana-pont-du-chateau.fr;Pharmacie Sultana;pharmacie-sultana-pont-du-chateau.fr;"<p>Matériel médical : handipharm</p><p>Orthopedie : Orliman</p><p>Bas de contention : Thuasne</p><p>Chaussure orthopédique : pulman adour</p><p>Parapharmacie : Avene, couvrance, a-derma, ducray, klorane, même, etiaxil,</p><p>Hygiène intime : saforelle, hydralin, manix, eroxon,</p><p>Lait infantile : novalac, modilac</p><p>Produits bébés : mam, klorane, pediakid, calmosine, bepanthen, mitosyl,</p><p>Homeopathie : boiron</p><p>Phytothérapie : herbiolys</p><p>Micronutrition : nutergia,</p><p>Aromatherapie : lca</p><p>Elgydium, fluocaril, elmex, meridol, parodontax, fixodent, arthrodont,</p><p>Tisane : bio nutrisanté,</p><p>Coutellerie : estipharm</p><p>Produit vétérinaire : krka</p><p>Dénutrition :<span>&nbsp; </span>fresubin, clinutren, delical,</p><p>Incontinence : confiance</p><p>Anti moustique et anti poux : lca, insecte écran, pouxit,&nbsp;</p>";10558255594
4577097946;Pack Standard : pharmacie-terrain-fleury.com;Pharmacie Terrain Fleury - Le Tampon;pharmacie-terrain-fleury.com;"<h3>Soins pour bébés et enfants :</h3><ul><li><strong>Mustella</strong></li><li><strong>Klorane</strong> (Gamme bébé)</li><li><strong>MKL</strong> (Gamme bébé)</li><li><strong>Mitosyl</strong></li><li><strong>Bébé Soley</strong></li><li><strong>Magics</strong></li><li><strong>MAM</strong></li><li><strong>NUK</strong></li><li><strong>Biolane</strong></li><li><strong>Luc et Léa</strong></li></ul><h3>Soins dermatologiques :</h3><ul><li><strong>La Roche Posay</strong></li><li><strong>Uriage</strong></li><li><strong>ADerma</strong></li><li><strong>Avène</strong></li><li><strong>SVR</strong></li><li><strong>Ducray</strong></li><li><strong>ACM</strong></li><li><strong>Même</strong> (soins pour les personnes atteintes de cancer)</li><li><strong>CeraVe</strong></li><li><strong>Eucerin</strong></li></ul><h3>Cosmétique et soins naturels :</h3><ul><li><strong>Filorga</strong></li><li><strong>Caudalie</strong></li><li><strong>Lierac</strong></li><li><strong>La Rosée</strong></li><li><strong>Melvita</strong></li><li><strong>Erborian</strong></li><li><strong>Heï Poa</strong></li><li><strong>Weleda</strong></li><li><strong>Taaj</strong></li><li><strong>Pitaya</strong></li><li><strong>Alvadiem</strong></li><li><strong>Rose Baie</strong></li></ul><h3>Hygiène et soins personnels :</h3><ul><li><strong>SOIVRE</strong></li><li><strong>Natessance</strong></li><li><strong>Roger Cavaillès</strong></li><li><strong>Hosan</strong></li><li><strong>Oral B</strong></li><li><strong>Parodontax</strong></li><li><strong>Sensodyne</strong></li><li><strong>Elgydium</strong></li><li><strong>Fluocaril</strong></li><li><strong>Cattier</strong></li><li><strong>Hydralin</strong></li><li><strong>Saforelle</strong></li><li><strong>Saugella</strong></li><li><strong>Tadam</strong></li></ul><h3>Compléments alimentaires et bien-être :</h3><ul><li><strong>Pharm et Nature</strong></li><li><strong>Nat et Forme</strong></li><li><strong>Synergia</strong></li><li><strong>Nutergia</strong></li><li><strong>Pileje</strong></li><li><strong>Milical</strong></li><li><strong>Quies</strong></li><li><strong>NHCO</strong></li><li><strong>STC</strong></li><li><strong>Ineldea</strong></li><li><strong>Herbesan</strong></li><li><strong>Arkopharma</strong></li><li><strong>Amoseeds</strong></li><li><strong>elixir&amp;co</strong></li></ul><h3>Orthopédie et santé générale :</h3><ul><li><strong>Innoxa</strong></li><li><strong>Roger Gallet</strong></li><li><strong>Bonne santé</strong></li><li><strong>Donjoy</strong></li><li><strong>Gibaud</strong></li><li><strong>Nuviline</strong></li><li><strong>Etiaxil</strong></li><li><strong>Vichy</strong></li><li><strong>Comptoir du bain</strong></li><li><strong>R.Fit</strong></li><li><strong>Santé Verte</strong></li><li><strong>Boiron</strong></li><li><strong>Laino</strong></li><li><strong>Poderm</strong></li><li><strong>Color et Soin</strong></li><li><strong>Manix</strong></li><li><strong>WaterWipes</strong></li><li><strong>Pédiakid</strong></li></ul><h3>Médicaments et solutions médicales :</h3><ul><li><strong>Upsa</strong></li><li><strong>Urgo</strong></li><li><strong>Scholl</strong></li><li><strong>Berocca</strong></li><li><strong>Euphytose</strong></li></ul>";10891670466
4573017046;Pack Standard : pharmacie-chavanoz.fr;Pharmacie de Chavanoz;pharmacie-chavanoz.fr;"<p>Matériel médical : Orkyn, Oxyphharm</p><p>Orthopedie : Donjoy, compex, scholl</p><p>Bas de contention : Innothera</p><p>Chaussure comfort : Gibaud,</p><p>Parapharmacie : Avene, La roche posay, sur, bioderma, rose baie, klorane, uriage, cerave, jonzac, beauterra, avril, la rosée, nuxe, caudalie, lashilé, manucurist paris, rivadouce, acm, forcapil, même, dexeryl, etiaxil, bepanthen</p><p>Lait infantile : gallia, novalac, biostime,</p><p>Protection solaire : oneobiol, doriance,</p><p>Produits bébés : mustella, biolane, klorane bébé, uriage, mon petit la rosée, mon premier beauterra, mam,</p><p>Sport: biotech usa, ergysport,</p><p>Coloration cheveux : color&amp;soin,</p><p>Homeopathie : boiron</p><p>Aromatherapie : puressentiel, olioseptil, naturactive,</p><p>Phytothérapie : naturactive, arkopharma</p><p>Tisane : yogi tea</p><p>Micronutrition : pileje, nutergia, bion3</p><p>Produit vétérinaire : biocanina, seresto</p><p>Dénutrition : fortimel, nutrisens, clinutren</p><p>Complements alimentaires : forte pharma</p><p>Hygiène intime : saforelle, hydralin, saugella, intima pro, durex, les petites choses, clearblue,</p><p>CBD : granions</p><p>Anti moustique et anti poux : pouxit, apaisyl, cinq sur cinq, insecte écran, body guard,</p><p>Dentaire : elmax, fluocaril, arthrodont, gum, oralb, elgydium, alodont, meridol, parodontax, sensodyne, cb12, parogencyl,</p>";11414600144
4568045759;Pack Standard : pharmaciedelolivier-niort.com;Pharmacie De L'Olivier;pharmaciedelolivier-niort.com;<p><strong>✅ Ajouter:</strong> Activa, logo de pharmacie de l’olivier (pour leur marque propre),</p><p><strong>✅ Supprimer:</strong> Santis, Pranarom, Vitavéa, Elastoplast, 3 chênes, Inothera, Roger Cavailles, Sensodine, fluocaril, homeodent, elgydium, parodontax, elmex, listerine, eludripro, polident, herbalgem, unipharco, compeed, excilor, baccide, arthrodont, viva, bush é lomb, estipharm, eluded, freesens, fixodent, oral-b, handi-pharm, biolane.</p>;8171962588
4564157173;Pack Access : pharmacie-fercoq-rostrenen.com;Pharmacie Fercoq;pharmacie-fercoq-rostrenen.com;;8172042737
